"Time","Python","PHP","C++","JavaScript","Node.js","R","Java"
"2004-01-01",5,39,22,40,0,4,94
"2004-02-01",5,45,22,43,0,4,87
"2004-03-01",4,43,21,41,0,4,88
"2004-04-01",5,44,22,41,0,3,90
"2004-05-01",4,43,22,43,0,4,100
"2004-06-01",5,39,18,41,0,3,94
"2004-07-01",5,41,16,40,0,4,89
"2004-08-01",4,39,14,34,0,4,82
"2004-09-01",4,38,15,36,0,4,80
"2004-10-01",5,38,18,34,0,4,90
"2004-11-01",5,36,19,36,0,4,96
"2004-12-01",5,36,17,33,0,5,91
"2005-01-01",5,36,16,32,0,4,96
"2005-02-01",5,38,16,35,0,4,91
"2005-03-01",4,37,17,32,0,4,91
"2005-04-01",4,36,16,30,0,4,84
"2005-05-01",5,36,17,35,0,5,89
"2005-06-01",5,36,13,33,0,5,83
"2005-07-01",5,33,11,31,0,4,69
"2005-08-01",5,32,11,28,0,4,64
"2005-09-01",4,31,11,28,0,4,69
"2005-10-01",4,36,13,29,0,5,74
"2005-11-01",4,31,15,29,0,5,76
"2005-12-01",4,30,12,25,0,5,74
"2006-01-01",4,30,12,25,0,4,70
"2006-02-01",4,32,11,27,0,4,69
"2006-03-01",4,28,13,25,0,4,72
"2006-04-01",4,27,11,26,0,5,68
"2006-05-01",4,28,12,26,0,4,70
"2006-06-01",4,27,10,23,0,4,60
"2006-07-01",5,27,9,23,0,5,57
"2006-08-01",4,26,8,21,0,5,55
"2006-09-01",4,24,8,20,0,5,53
"2006-10-01",4,25,11,21,0,5,61
"2006-11-01",4,25,12,22,0,5,69
"2006-12-01",4,22,9,20,0,5,60
"2007-01-01",4,23,10,21,0,5,61
"2007-02-01",4,24,9,22,0,5,62
"2007-03-01",4,25,10,20,0,5,61
"2007-04-01",4,23,9,20,0,5,57
"2007-05-01",4,27,9,20,0,5,61
"2007-06-01",4,23,8,17,0,5,52
"2007-07-01",4,23,7,20,0,5,53
"2007-08-01",4,22,7,18,0,5,51
"2007-09-01",4,21,7,18,0,6,48
"2007-10-01",4,25,10,20,0,6,58
"2007-11-01",4,24,12,21,0,6,65
"2007-12-01",4,19,8,16,0,6,53
"2008-01-01",4,20,8,15,0,6,52
"2008-02-01",4,21,7,18,0,6,50
"2008-03-01",4,19,7,16,0,6,51
"2008-04-01",4,20,9,18,0,6,55
"2008-05-01",4,20,8,17,0,6,49
"2008-06-01",4,18,7,17,0,5,45
"2008-07-01",4,18,6,17,0,5,46
"2008-08-01",3,16,5,14,0,6,41
"2008-09-01",4,16,6,15,0,6,44
"2008-10-01",4,20,8,18,0,6,51
"2008-11-01",4,19,9,17,0,6,50
"2008-12-01",4,17,7,14,0,6,42
"2009-01-01",4,18,7,16,0,6,46
"2009-02-01",4,20,7,17,0,6,47
"2009-03-01",4,20,8,19,0,6,48
"2009-04-01",4,19,8,16,0,5,48
"2009-05-01",4,19,8,16,0,5,45
"2009-06-01",3,17,6,16,0,5,42
"2009-07-01",3,17,6,14,0,5,39
"2009-08-01",4,16,5,13,0,5,37
"2009-09-01",3,16,6,14,0,5,41
"2009-10-01",4,17,7,15,0,5,44
"2009-11-01",4,18,8,16,0,5,47
"2009-12-01",4,15,6,13,0,5,37
"2010-01-01",4,16,7,14,0,5,39
"2010-02-01",4,18,6,15,0,5,41
"2010-03-01",4,18,7,15,0,5,41
"2010-04-01",4,17,7,14,0,5,43
"2010-05-01",4,17,7,13,0,4,43
"2010-06-01",4,17,6,13,0,5,37
"2010-07-01",4,15,5,11,0,5,35
"2010-08-01",3,13,5,10,0,5,34
"2010-09-01",3,15,5,12,0,5,36
"2010-10-01",4,16,7,13,0,5,40
"2010-11-01",4,16,7,13,0,5,40
"2010-12-01",4,14,6,12,0,5,35
"2011-01-01",4,15,5,11,0,5,34
"2011-02-01",4,16,5,13,0,6,36
"2011-03-01",4,16,5,13,0,5,36
"2011-04-01",4,16,5,12,0,5,35
"2011-05-01",4,15,5,12,0,5,36
"2011-06-01",4,15,5,12,0,6,35
"2011-07-01",4,15,4,11,0,6,33
"2011-08-01",3,14,4,10,0,6,30
"2011-09-01",4,15,4,12,0,6,35
"2011-10-01",5,14,6,12,0,6,40
"2011-11-01",4,17,6,12,0,6,38
"2011-12-01",4,14,5,11,0,6,35
"2012-01-01",4,15,5,12,0,6,39
"2012-02-01",4,17,5,13,1,6,39
"2012-03-01",4,16,5,13,1,7,38
"2012-04-01",4,14,5,12,1,7,40
"2012-05-01",5,16,5,14,1,7,40
"2012-06-01",4,15,5,13,1,7,36
"2012-07-01",4,14,4,12,1,6,34
"2012-08-01",4,13,4,11,1,7,33
"2012-09-01",4,14,4,12,1,7,39
"2012-10-01",5,15,5,13,1,8,39
"2012-11-01",5,15,5,13,1,7,41
"2012-12-01",4,13,4,11,1,7,32
"2013-01-01",5,14,5,13,1,8,40
"2013-02-01",5,15,5,14,1,7,40
"2013-03-01",5,14,5,12,1,7,37
"2013-04-01",5,14,5,13,1,7,50
"2013-05-01",5,14,4,13,1,7,40
"2013-06-01",4,13,4,12,1,6,36
"2013-07-01",5,13,4,12,1,6,34
"2013-08-01",4,11,3,10,1,6,27
"2013-09-01",5,12,4,12,1,6,30
"2013-10-01",6,15,5,15,1,7,45
"2013-11-01",6,14,5,14,1,7,41
"2013-12-01",5,13,4,13,1,6,33
"2014-01-01",5,13,4,13,1,7,52
"2014-02-01",5,15,5,14,1,7,44
"2014-03-01",5,14,5,15,1,6,38
"2014-04-01",5,14,4,14,1,7,46
"2014-05-01",5,14,4,14,1,6,39
"2014-06-01",5,14,4,14,1,6,33
"2014-07-01",6,13,3,14,1,7,34
"2014-08-01",5,11,3,11,1,6,28
"2014-09-01",5,12,4,13,1,7,33
"2014-10-01",6,13,5,15,1,6,40
"2014-11-01",7,13,5,15,1,7,40
"2014-12-01",6,12,4,13,1,7,35
"2015-01-01",5,11,4,13,1,7,35
"2015-02-01",6,14,4,16,2,7,38
"2015-03-01",7,13,5,15,2,7,33
"2015-04-01",6,13,4,14,2,7,39
"2015-05-01",6,13,4,15,2,7,37
"2015-06-01",6,12,3,14,2,6,31
"2015-07-01",6,11,3,13,2,6,30
"2015-08-01",5,9,3,11,1,5,23
"2015-09-01",6,11,3,12,2,6,29
"2015-10-01",7,12,5,14,2,6,33
"2015-11-01",8,12,5,14,2,6,34
"2015-12-01",7,11,4,13,2,5,27
"2016-01-01",7,11,4,13,2,5,24
"2016-02-01",9,13,4,16,2,6,27
"2016-03-01",9,12,4,15,2,6,26
"2016-04-01",9,12,4,15,2,6,27
"2016-05-01",8,12,4,15,2,5,25
"2016-06-01",9,11,3,14,2,5,23
"2016-07-01",7,10,3,13,2,5,18
"2016-08-01",6,8,3,12,2,5,16
"2016-09-01",8,11,3,14,2,5,22
"2016-10-01",10,12,4,14,2,5,25
"2016-11-01",11,16,4,16,3,4,28
"2016-12-01",10,13,4,14,3,4,23
"2017-01-01",10,15,4,15,3,3,25
"2017-02-01",11,16,4,18,3,4,28
"2017-03-01",13,17,5,18,3,4,28
"2017-04-01",11,15,4,16,3,4,25
"2017-05-01",11,16,4,16,3,4,24
"2017-06-01",10,13,4,16,3,4,21
"2017-07-01",9,12,3,13,3,3,19
"2017-08-01",8,10,3,12,2,3,15
"2017-09-01",10,12,4,14,3,3,21
"2017-10-01",11,13,5,15,3,3,24
"2017-11-01",12,14,5,16,3,4,25
"2017-12-01",10,10,4,13,3,3,18
"2018-01-01",12,12,4,14,3,4,21
"2018-02-01",13,13,4,16,4,4,21
"2018-03-01",12,12,4,14,3,4,19
"2018-04-01",12,12,4,15,3,4,20
"2018-05-01",12,12,4,15,3,4,21
"2018-06-01",11,11,3,14,3,4,18
"2018-07-01",11,10,3,13,3,3,16
"2018-08-01",9,8,2,11,2,2,13
"2018-09-01",11,9,3,12,3,2,16
"2018-10-01",13,11,4,14,3,3,20
"2018-11-01",12,10,4,14,3,3,18
"2018-12-01",11,8,3,12,2,3,14
"2019-01-01",12,10,3,12,3,3,14
"2019-02-01",13,11,4,14,3,4,17
"2019-03-01",13,10,3,14,3,3,15
"2019-04-01",13,10,3,13,3,3,15
"2019-05-01",13,10,3,14,3,3,15
"2019-06-01",13,9,3,13,3,3,14
"2019-07-01",13,9,2,13,3,3,14
"2019-08-01",10,7,2,10,2,2,11
"2019-09-01",13,9,3,12,2,3,15
"2019-10-01",16,11,4,15,3,3,20
"2019-11-01",16,10,4,15,3,3,19
"2019-12-01",13,8,3,10,2,3,14
"2020-01-01",13,8,3,12,2,3,16
"2020-02-01",16,9,4,14,3,3,19
"2020-03-01",16,8,3,13,2,3,18
"2020-04-01",15,8,3,13,3,4,16
"2020-05-01",16,8,3,13,2,4,16
"2020-06-01",14,8,3,12,2,3,15
"2020-07-01",13,7,2,12,2,3,13
"2020-08-01",11,6,2,10,2,2,10
"2020-09-01",14,7,3,11,2,3,14
"2020-10-01",13,7,3,11,2,3,16
"2020-11-01",13,7,3,10,2,3,15
"2020-12-01",12,6,3,9,1,3,12
"2021-01-01",11,6,3,9,2,3,12
"2021-02-01",13,7,3,11,2,3,14
"2021-03-01",14,7,3,10,2,3,14
"2021-04-01",13,6,3,10,2,3,13
"2021-05-01",14,6,3,10,2,3,14
"2021-06-01",12,5,3,9,2,3,12
"2021-07-01",10,5,2,9,2,2,9
"2021-08-01",9,4,2,7,1,2,8
"2021-09-01",12,5,3,10,2,2,12
"2021-10-01",16,7,4,12,2,3,16
"2021-11-01",17,8,4,13,2,4,17
"2021-12-01",16,6,4,11,2,3,15
"2022-01-01",20,8,4,15,3,4,17
"2022-02-01",24,10,4,18,3,4,21
"2022-03-01",25,9,5,18,4,5,21
"2022-04-01",25,8,4,18,3,4,20
"2022-05-01",25,9,4,18,3,4,20
"2022-06-01",21,8,3,17,3,3,16
"2022-07-01",19,7,3,14,3,3,13
"2022-08-01",17,6,2,13,3,2,11
"2022-09-01",22,8,4,16,3,3,17
"2022-10-01",25,9,5,17,3,4,22
"2022-11-01",28,10,5,19,3,4,21
"2022-12-01",23,8,4,14,3,4,16
"2023-01-01",23,8,4,16,3,4,17
"2023-02-01",26,9,4,17,3,4,18
"2023-03-01",25,9,4,17,3,4,18
"2023-04-01",22,7,3,14,2,3,15
"2023-05-01",21,8,3,14,2,4,15
"2023-06-01",19,7,3,13,2,3,13
"2023-07-01",17,6,2,12,2,3,10
"2023-08-01",15,5,2,10,2,2,10
"2023-09-01",19,7,3,13,2,3,13
"2023-10-01",23,7,4,14,3,4,17
"2023-11-01",22,8,3,14,2,3,17
"2023-12-01",18,6,3,11,2,3,12
"2024-01-01",20,7,3,13,2,3,15
"2024-02-01",24,9,4,15,3,4,17
"2024-03-01",21,7,3,13,2,3,14
"2024-04-01",23,7,3,14,3,3,17
"2024-05-01",21,7,3,13,3,3,15
"2024-06-01",18,6,3,11,2,3,13
"2024-07-01",17,5,2,10,2,2,11
"2024-08-01",14,4,2,9,2,2,9
"2024-09-01",19,6,3,11,2,2,13
"2024-10-01",23,7,4,12,2,3,16
"2024-11-01",21,6,3,11,2,3,14
"2024-12-01",18,5,3,9,2,2,11
"2025-01-01",18,5,3,10,2,2,12
"2025-02-01",20,6,3,11,3,3,13
"2025-03-01",20,6,3,10,3,3,13
"2025-04-01",15,4,3,9,2,2,11
"2025-05-01",15,4,2,8,2,2,11
"2025-06-01",15,4,2,8,2,2,10
"2025-07-01",13,4,2,7,2,2,9
"2025-08-01",11,3,2,5,2,1,7
"2025-09-01",14,4,3,7,2,2,10
"2025-10-01",17,4,3,8,2,2,12
"2025-11-01",20,4,3,9,4,2,12
"2025-12-01",16,4,3,8,3,2,10
"2026-01-01",18,4,3,9,3,2,12
"2026-02-01",24,5,4,12,4,3,13
"2026-03-01",22,5,3,12,4,3,11
"2026-04-01",20,4,3,9,4,2,10
"2026-05-01",16,3,3,8,3,2,9
"2026-06-01",15,3,2,8,3,2,9
"2026-07-01",18,4,3,13,4,1,10
"2026-08-01",8,2,1,4,2,1,5
"2026-09-01",12,2,2,7,3,1,8
