"Time","Python","PHP","C++","JavaScript","Node.js","R","Java"
"2008-01-01",7,0,0,20,0,14,10
"2008-02-01",10,0,0,23,0,20,12
"2008-03-01",5,0,0,15,0,14,8
"2008-04-01",8,0,0,19,0,14,10
"2008-05-01",5,0,0,16,0,11,8
"2008-06-01",5,0,0,20,0,11,12
"2008-07-01",4,0,0,17,0,10,11
"2008-08-01",5,0,0,14,0,8,10
"2008-09-01",7,5,0,21,0,8,11
"2008-10-01",3,0,0,12,0,10,10
"2008-11-01",5,0,0,11,0,7,11
"2008-12-01",0,0,0,10,0,9,7
"2009-01-01",4,0,0,11,0,9,16
"2009-02-01",8,4,0,14,0,9,15
"2009-03-01",4,4,0,15,0,9,15
"2009-04-01",4,3,0,12,0,7,11
"2009-05-01",4,4,0,9,0,7,10
"2009-06-01",4,0,0,12,0,7,8
"2009-07-01",0,0,3,11,0,9,8
"2009-08-01",4,4,0,10,0,8,10
"2009-09-01",4,3,0,9,0,6,8
"2009-10-01",4,3,3,10,0,6,12
"2009-11-01",4,4,4,10,0,9,9
"2009-12-01",3,3,2,9,0,5,10
"2010-01-01",4,3,0,9,0,8,7
"2010-02-01",3,5,0,10,0,6,12
"2010-03-01",3,4,4,8,0,5,12
"2010-04-01",3,5,3,7,0,7,13
"2010-05-01",4,4,4,6,0,6,9
"2010-06-01",5,3,2,8,0,6,13
"2010-07-01",3,3,2,7,0,6,15
"2010-08-01",2,4,2,6,0,8,16
"2010-09-01",4,3,4,6,0,6,12
"2010-10-01",5,3,6,6,0,6,11
"2010-11-01",4,4,6,6,0,5,14
"2010-12-01",4,5,4,9,0,7,15
"2011-01-01",4,3,3,6,0,6,14
"2011-02-01",4,6,4,6,0,6,14
"2011-03-01",4,4,2,5,0,4,12
"2011-04-01",4,4,3,8,0,6,12
"2011-05-01",4,3,2,5,0,7,12
"2011-06-01",4,4,4,6,0,5,12
"2011-07-01",5,6,3,5,0,7,13
"2011-08-01",5,4,3,5,0,5,13
"2011-09-01",5,4,3,4,0,6,14
"2011-10-01",4,5,4,4,0,6,17
